0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.031483833,0.5175795,0.09958205,0.2602974,0.06587786,0.025069505,0.15673372,0.071758054,0.027634328,0.81261396,0.037409913,0.5350335,-0.35866496,-0.11650616,-0.06172687,0.13819723,0.027623663,-0.08604956,-0.17712855,-0.63693744,-0.9481459,0.69220877,-0.28685176,0.47269455,0.6684606,-0.082896024,-0.14859232,-0.05367903,-0.1329499,-0.45791686,-0.48348442,0.80706054
-0.24839826,0.070033155,1.2169706,0.19265954,-0.28175333,0.2779886,0.11241437,0.29619634,0.23510414,1.0884457,-0.3086545,0.61105186,-0.75562745,0.8544774,-0.1864398,-0.49223354,0.6563391,-0.7593603,-0.19141483,-0.80284876,-1.1530057,0.69767696,-0.46154475,0.2836956,0.24002449,0.03617502,0.60971224,-0.25982973,0.088385016,-0.9254074,-0.7806758,-0.079994775
-0.24058716,0.34144473,0.5264899,-0.36361524,-0.26063168,0.21042247,0.26314852,-0.6899879,-0.078280605,0.65399224,-0.50596863,0.4291781,-0.6339037,0.62942463,-0.16397138,0.37721178,0.47797585,-0.13061531,-0.061750207,-0.39298204,-0.8290012,0.07685232,-0.04730509,-0.24018736,-0.021971246,0.2877446,0.5747023,-0.4373578,0.48651204,-0.7069683,-0.3781862,-0.25069037
0.41291127,0.32915553,0.5281628,-0.012280886,-0.33679327,0.74415547,-0.5425945,0.7838958,0.72218543,1.34453,-0.0123104965,0.2486275,-0.8425997,0.5870041,1.0849018,0.07154546,-0.2764617,-0.03136793,-0.01303868,-1.0903155,-0.14181618,0.91224384,-0.6528197,-0.35945877,0.39661273,0.87624806,-0.29217753,-0.5649779,0.35717022,-1.0829234,-0.42998728,0.4547905
0.33175555,0.35571837,0.3862226,0.88590914,-0.24153459,0.7480287,-0.38935807,1.1580101,0.091217004,1.1907421,0.45943758,0.5065656,-0.51121235,-0.008071314,0.96411306,-0.29381123,-0.16336523,0.044438478,-0.41903177,-0.9898985,-0.75859493,1.5442591,-0.75167686,0.8038605,1.0381696,-0.17728223,-0.5656511,0.49543956,-0.6017827,-0.6719808,-1.1315871,1.6710657
-0.29934174,0.39582765,0.20303035,-0.2535549,-0.03552143,0.34389094,0.18095483,-0.5758522,-0.10655021,0.27494448,-0.3178946,0.3568634,-0.45608163,0.21123405,0.05605242,0.23429817,0.06826386,-0.31458274,-0.18371157,-0.41470113,-0.9034079,0.15096934,-0.24504727,0.39522567,0.5854319,-0.26730713,0.31305715,-0.29324767,-0.09908211,-0.2532397,-0.7789282,-0.19963558
0.6708281,0.7109022,1.3824421,1.0608976,-0.46594918,0.69636124,-0.41018903,0.8475397,0.50409114,1.7047559,0.28187856,0.5067827,-0.6357184,0.009452467,0.8819099,-0.76647,-0.54278535,0.41868648,0.10462824,-1.1522909,-0.92214614,2.097246,-0.7434799,1.2983285,1.4512616,0.56378704,-0.59309924,0.61350244,-0.20726727,-0.6402074,-1.1829017,1.5669632
-0.47666833,0.13144632,-0.51286346,-0.06880915,-0.16557361,0.29087254,-0.09927737,-0.4388608,-0.18059127,0.4976661,-0.067443095,0.51604253,-0.17956786,-0.11427295,-0.18902995,1.2114117,0.46126375,-0.39223567,-0.62498575,-0.48489246,-1.0082922,0.3447709,-0.42990318,0.041215707,0.60084796,-0.7259345,0.5766177,-0.25102353,-0.09712231,-0.7368819,-0.28652743,0.047559995
0.21403424,-0.37695816,1.2023242,-0.41512427,-0.65082484,2.0649107,-0.15744586,-0.24560498,0.6981613,0.9232208,0.2252627,0.23453772,-1.3059074,1.8147006,0.06397582,-0.54749465,0.5198484,0.34167376,0.8004939,-0.41452685,0.49251828,0.2816907,-0.27189383,-0.22375,0.25978264,0.2671269,0.7920764,-1.2889484,0.9094874,0.4864794,-0.7571559,-0.16081268
0.76665634,-0.87926865,1.4452082,-0.1992182,-1.1592766,2.5742323,-0.37572607,1.201568,1.8633391,1.9591001,1.0347352,0.18902999,-0.53966063,1.5701152,0.91391,-0.23667945,0.4495534,0.17781168,0.3971448,-1.0447131,-0.20289417,1.6743537,-0.94196224,-0.22776008,0.5957847,-0.24738394,0.3094813,-1.5161346,0.96708363,-0.27739257,-0.85175997,0.8127875
